Time [s],Packet ID,MOSI,MISO
2.676466000000000,0,0xFF,0x01
2.676557375000000,0,0xFF,0x02
2.676648750000000,0,0xFF,0x7C
2.676739812500000,0,0xFF,0x0E
2.676846562500000,0,0xFF,0xFF
2.676943312500000,0,0xFF,0xFF
2.677039687500000,0,0xFF,0xFF
2.677137750000000,0,0xFF,0xFF
2.677234500000000,0,0xFF,0xFF
2.677331187500000,0,0xFF,0xFF
2.677445312500000,0,0xFF,0xFF
3.983082312500000,1,0xFF,0x07
3.983173750000000,1,0xFF,0x02
3.983264812500000,1,0xFF,0xDA
3.983356187500000,1,0xFF,0xA4
3.983462937500000,1,0xFF,0xFF
3.983559625000000,1,0xFF,0xFF
3.983656375000000,1,0xFF,0xFF
3.983754125000000,1,0xFF,0xFF
3.983850812500000,1,0xFF,0xFF
3.983948250000000,1,0xFF,0xFF
3.984045625000000,1,0xFF,0xFF
3.984143000000000,1,0xFF,0xFF
3.985240062500000,1,0xFF,0xFF
3.985337437500000,1,0xFF,0xFF
3.985434875000000,1,0xFF,0xFF
3.985532250000000,1,0xFF,0xFF
3.985628625000000,1,0xFF,0xFF
3.985725687500000,1,0xFF,0xFF
3.987185000000000,2,0xFF,0x10
3.987276375000000,2,0xFF,0x06
3.987368125000000,2,0xFF,0x10
3.987459500000000,2,0xFF,0x00
3.987551250000000,2,0xFF,0x00
3.987642312500000,2,0xFF,0x00
3.987734000000000,2,0xFF,0xB6
3.987825062500000,2,0xFF,0xC2
3.987931812500000,2,0xFF,0xFF
3.988028562500000,2,0xFF,0xFF
3.988125250000000,2,0xFF,0xFF
3.988223000000000,2,0xFF,0xFF
3.988319750000000,2,0xFF,0xFF
3.988416437500000,2,0xFF,0xFF
3.988530562500000,2,0xFF,0xFF
3.990375437500000,3,0xFF,0x10
3.990466812500000,3,0xFF,0x06
3.990557875000000,3,0xFF,0xFF
3.990649250000000,3,0xFF,0x0F
3.990740625000000,3,0xFF,0x00
3.990832062500000,3,0xFF,0x00
3.990923750000000,3,0xFF,0x83
3.991014812500000,3,0xFF,0xBE
3.991121562500000,3,0xFF,0xFF
3.991218312500000,3,0xFF,0xFF
3.991315000000000,3,0xFF,0xFF
3.991412750000000,3,0xFF,0xFF
3.991509500000000,3,0xFF,0xFF
3.991606187500000,3,0xFF,0xFF
3.991720312500000,3,0xFF,0xFF
3.993145187500000,4,0xFF,0x0C
3.993236625000000,4,0xFF,0x13
3.993328000000000,4,0xFF,0x01
3.993419375000000,4,0xFF,0x00
3.993510750000000,4,0xFF,0x00
3.993602187500000,4,0xFF,0x00
3.993693875000000,4,0xFF,0x00
3.993785312500000,4,0xFF,0x00
3.993877000000000,4,0xFF,0x00
3.993968437500000,4,0xFF,0x00
3.994060125000000,4,0xFF,0x00
3.994151187500000,4,0xFF,0x00
3.995242562500000,4,0xFF,0x00
3.995333625000000,4,0xFF,0x00
3.995425375000000,4,0xFF,0x00
3.995516437500000,4,0xFF,0x00
