Time [s],Packet ID,MOSI,MISO
7.438363500000000,0,0xFF,0x01
7.438454937500000,0,0xFF,0x02
7.438546312500000,0,0xFF,0x7C
7.438637375000000,0,0xFF,0x0E
7.438744125000000,0,0xFF,0xFF
7.438840875000000,0,0xFF,0xFF
7.438937562500000,0,0xFF,0xFF
7.439035312500000,0,0xFF,0xFF
7.439132375000000,0,0xFF,0xFF
7.439228812500000,0,0xFF,0xFF
7.439343187500000,0,0xFF,0xFF
8.742263687499999,1,0xFF,0x07
8.742355062500000,1,0xFF,0x02
8.742446125000001,1,0xFF,0xDA
8.742537562500001,1,0xFF,0xA4
8.742644312500000,1,0xFF,0xFF
8.742741000000001,1,0xFF,0xFF
8.743836437500001,1,0xFF,0xFF
8.743934187500001,1,0xFF,0xFF
8.744031250000001,1,0xFF,0xFF
8.744128625000000,1,0xFF,0xFF
8.744225999999999,1,0xFF,0xFF
8.744323437500000,1,0xFF,0xFF
8.744420812500000,1,0xFF,0xFF
8.744518250000000,1,0xFF,0xFF
8.744615625000000,1,0xFF,0xFF
8.744713000000001,1,0xFF,0xFF
8.744809437500001,1,0xFF,0xFF
8.744906500000001,1,0xFF,0xFF
8.746365812500001,2,0xFF,0x10
8.746457187500001,2,0xFF,0x06
8.746548250000000,2,0xFF,0x10
8.746639999999999,2,0xFF,0x00
8.746731062500000,2,0xFF,0x00
8.746822437500001,2,0xFF,0x00
8.746913500000000,2,0xFF,0xB6
8.747004937500000,2,0xFF,0xC2
8.747111625000001,2,0xFF,0xFF
8.747208375000000,2,0xFF,0xFF
8.747305125000000,2,0xFF,0xFF
8.747402875000001,2,0xFF,0xFF
8.747499937500001,2,0xFF,0xFF
8.747596312500001,2,0xFF,0xFF
8.747710750000000,2,0xFF,0xFF
8.749555624999999,3,0xFF,0x10
8.749647062499999,3,0xFF,0x06
8.749738437500000,3,0xFF,0xFF
8.749829812500000,3,0xFF,0x0F
8.749921562500001,3,0xFF,0x00
8.750012937499999,3,0xFF,0x00
8.750104687500000,3,0xFF,0x83
8.750195750000000,3,0xFF,0xBE
8.750302500000000,3,0xFF,0xFF
8.750399187499999,3,0xFF,0xFF
8.750495937500000,3,0xFF,0xFF
8.750593687500000,3,0xFF,0xFF
8.750690750000000,3,0xFF,0xFF
8.750787125000000,3,0xFF,0xFF
8.750901562499999,3,0xFF,0xFF
